# US Geological Survey
#
# The Site File stores location and general information about ground water,
# surface water, and meteorological sites for sites in USA.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2011-05-12 15:00:28 EDT	(vaas01)
#
# The following selected fields are included in this output:
# agency_cd       -- Agency
# site_no         -- Site identification number
# station_nm      -- Site name
# site_tp_cd      -- Site type
# dec_lat_va      -- Decimal latitude
# dec_long_va     -- Decimal longitude
# coord_acy_cd    -- Latitude-longitude accuracy
# dec_coord_datum_cd -- Decimal Latitude-longitude datum
# alt_va          -- Altitude of Gage/land surface
# alt_acy_va      -- Altitude accuracy
# alt_datum_cd    -- Altitude datum
# data_type       -- Data type
# parm_cd         -- Parmeter code
# stat_cd         -- Statistical code
# loc_nm          -- Additional measurement description
# medium_grp_cd   -- Medium group code
# parm_grp_cd     -- Parameter group code
# srs_id          -- SRS ID
# access_cd       -- Access code
# begin_date      -- Begin date
# end_date        -- End date
# count_nu        -- Record count
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	data_type_cd	parm_cd	stat_cd	loc_nm	medium_grp_cd	parm_grp_cd	srs_id	access_cd	begin_date	end_date	count_nu
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	2s	5s	5s	30s	3s	3s	5n	4n	20d	20d	5n
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	ad				wat		0	0	2006		5
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00010	00001		wat		1645597	0	1988-10-01		7906
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00010	00002		wat		1645597	0	1988-10-01		7905
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00010	00003		wat		1645597	0	1988-10-01		7898
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00060	00003		wat		1645423	0	1930-03-01		29657
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00065	00003		wat		17164583	0	1974-01-30		5309
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00095	00001		wat		1646694	0	1988-12-07		7962
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00095	00002		wat		1646694	0	1988-12-07		7964
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	dv	00095	00003		wat		1646694	0	1988-12-07		7960
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	id				wat		0	0	1972-06-09		628671
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	pk				wat		0	0	1931-04-03		80
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	qw				wat	ALL	0	0	1965-08-09		11
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	qw	00010			wat	PHY	1645597	0	1969-07-16		3
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	qw	00020			wat	PHY	1645712	0	1983-04-20		1
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	qw	00028			wat	INF	0	0	1980-09-17		4
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	qw	00060			wat	PHY	1645423	0	1965-08-09		5
USGS	01646500	POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA	ST	38.94977778	-77.12763889	S	NAD83	37.95	.01	NGVD29	qw	00061			wat	PHY	1645415	0	1975-09-27		3
