# US Geological Survey
#
# The Site File stores location and general information about ground water,
# surface water, and meteorological sites for sites in USA.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2011-05-12 15:06:43 EDT	(vaas01)
#
# The following selected fields are included in this output:
# agency_cd       -- Agency
# site_no         -- Site identification number
# station_nm      -- Site name
# site_tp_cd      -- Site type
# dec_lat_va      -- Decimal latitude
# dec_long_va     -- Decimal longitude
# coord_acy_cd    -- Latitude-longitude accuracy
# dec_coord_datum_cd -- Decimal Latitude-longitude datum
# alt_va          -- Altitude of Gage/land surface
# alt_acy_va      -- Altitude accuracy
# alt_datum_cd    -- Altitude datum
# data_type       -- Data type
# parm_cd         -- Parmeter code
# stat_cd         -- Statistical code
# loc_nm          -- Additional measurement description
# medium_grp_cd   -- Medium group code
# parm_grp_cd     -- Parameter group code
# srs_id          -- SRS ID
# access_cd       -- Access code
# begin_date      -- Begin date
# end_date        -- End date
# count_nu        -- Record count
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	data_type_cd	parm_cd	stat_cd	loc_nm	medium_grp_cd	parm_grp_cd	srs_id	access_cd	begin_date	end_date	count_nu
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	2s	5s	5s	30s	3s	3s	5n	4n	20d	20d	5n
USGS	01106000	ADAMSVILLE BROOK AT ADAMSVILLE, RI	ST	41.5584366	-71.12921047	U	NAD83	15	  1	NGVD29	dv	00060	00003		wat		1645423	0	1940-10-01		14105
USGS	01109403	TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI	ST	41.83093376	-71.3511649	U	NAD83	5.0	  5	NGVD29	dv	00060	00003		wat		1645423	0	1986-10-01		8979
USGS	01109403	TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI	ST	41.83093376	-71.3511649	U	NAD83	5.0	  5	NGVD29	uv	00060			wat		1645423	0	2010-09-23		231
USGS	01109403	TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI	ST	41.83093376	-71.3511649	U	NAD83	5.0	  5	NGVD29	uv	00065			wat		17164583	0	2010-09-23		231
USGS	01111300	NIPMUC RIVER NEAR HARRISVILLE, RI	ST	41.9812093	-71.68590049	U	NAD83	340	 10	NGVD29	dv	00060	00003		wat		1645423	0	1964-03-01		16492
USGS	01111300	NIPMUC RIVER NEAR HARRISVILLE, RI	ST	41.9812093	-71.68590049	U	NAD83	340	 10	NGVD29	uv	00060			wat		1645423	0	2010-09-23		231
USGS	01111300	NIPMUC RIVER NEAR HARRISVILLE, RI	ST	41.9812093	-71.68590049	U	NAD83	340	 10	NGVD29	uv	00065			wat		17164583	0	2010-09-23		231
USGS	01111500	BRANCH RIVER AT FORESTDALE, RI	ST	41.99648716	-71.5625632	S	NAD83	180.00	 10	NGVD29	dv	00060	00003		wat		1645423	0	1940-01-24		26041
USGS	01111500	BRANCH RIVER AT FORESTDALE, RI	ST	41.99648716	-71.5625632	S	NAD83	180.00	 10	NGVD29	uv	00060			wat		1645423	0	2010-09-23		231
USGS	01111500	BRANCH RIVER AT FORESTDALE, RI	ST	41.99648716	-71.5625632	S	NAD83	180.00	 10	NGVD29	uv	00065			wat		17164583	0	2010-09-23		231
USGS	01112500	BLACKSTONE RIVER AT WOONSOCKET, RI	ST	42.00620936	-71.5031168	S	NAD83	107.42	.01	NGVD29	dv	00060	00003		wat		1645423	0	1929-02-22		30027
USGS	01112500	BLACKSTONE RIVER AT WOONSOCKET, RI	ST	42.00620936	-71.5031168	S	NAD83	107.42	.01	NGVD29	uv	00060			wat		1645423	0	2010-09-23		231
USGS	01112500	BLACKSTONE RIVER AT WOONSOCKET, RI	ST	42.00620936	-71.5031168	S	NAD83	107.42	.01	NGVD29	uv	00065			wat		17164583	0	2010-09-23		231
USGS	01113895	BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI	ST	41.88871088	-71.38144468	S	NAD83	20	  5	NGVD29	dv	00060	00003		wat		1645423	0	2003-10-01		2454
USGS	01113895	BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI	ST	41.88871088	-71.38144468	S	NAD83	20	  5	NGVD29	uv	00060			wat		1645423	0	2010-09-23		231
USGS	01113895	BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI	ST	41.88871088	-71.38144468	S	NAD83	20	  5	NGVD29	uv	00065			wat		17164583	0	2010-09-23		231
USGS	01114000	MOSHASSUCK RIVER AT PROVIDENCE, RI	ST	41.833989	-71.41061208	U	NAD83	8.19	.01	NGVD29	dv	00060	00003		wat		1645423	0	1963-06-01		17510
USGS	01114000	MOSHASSUCK RIVER AT PROVIDENCE, RI	ST	41.833989	-71.41061208	U	NAD83	8.19	.01	NGVD29	uv	00060			wat		1645423	0	2010-09-23		231
USGS	01114000	MOSHASSUCK RIVER AT PROVIDENCE, RI	ST	41.833989	-71.41061208	U	NAD83	8.19	.01	NGVD29	uv	00065			wat		17164583	0	2010-09-23		231
USGS	01114500	WOONASQUATUCKET RIVER AT CENTERDALE, RI	ST	41.8589884	-71.4872823	S	NAD83	95.00	.01	NGVD29	dv	00060	00003		wat		1645423	0	1941-07-09		25508
USGS	01114500	WOONASQUATUCKET RIVER AT CENTERDALE, RI	ST	41.8589884	-71.4872823	S	NAD83	95.00	.01	NGVD29	uv	00060			wat		1645423	0	2010-09-23		231
USGS	01114500	WOONASQUATUCKET RIVER AT CENTERDALE, RI	ST	41.8589884	-71.4872823	S	NAD83	95.00	.01	NGVD29	uv	00065			wat		17164583	0	2010-09-23		231
USGS	01115098	PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI	ST	41.8525992	-71.6061754	S	NAD83				dv	00060	00003		wat		1645423	0	1994-06-23		6167
USGS	01115098	PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI	ST	41.8525992	-71.6061754	S	NAD83				uv	00010			wat		1645597	0	2010-09-23		231
