2010-09-27 01:02:48,527 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47375||||40|1|132.249.69.238
2010-09-27 01:02:48,527 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47375||||40|1|132.249.69.238
2010-09-27 01:02:49,042 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47376||||||132.249.69.238
2010-09-27 01:02:49,042 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47376||||||132.249.69.238
2010-09-27 01:02:49,074 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47376||||40|1|132.249.69.238
2010-09-27 01:02:49,074 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47376||||40|1|132.249.69.238
2010-09-27 01:02:49,605 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47377||||||132.249.69.238
2010-09-27 01:02:49,605 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47377||||||132.249.69.238
2010-09-27 01:02:49,636 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47377||||40|1|132.249.69.238
2010-09-27 01:02:49,636 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47377||||40|1|132.249.69.238
2010-09-27 01:02:54,792 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47378||||||132.249.69.238
2010-09-27 01:02:54,792 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47378||||||132.249.69.238
2010-09-27 01:02:54,824 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47378||||42|1|132.249.69.238
2010-09-27 01:02:54,824 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47378||||42|1|132.249.69.238
2010-09-27 01:02:55,355 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47379||||||132.249.69.238
2010-09-27 01:02:55,355 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47379||||||132.249.69.238
2010-09-27 01:02:55,386 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47379||||40|1|132.249.69.238
2010-09-27 01:02:55,386 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47379||||40|1|132.249.69.238
2010-09-27 01:02:55,917 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47380||||||132.249.69.238
2010-09-27 01:02:55,917 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47380||||||132.249.69.238
2010-09-27 01:02:55,949 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47380||||39|1|132.249.69.238
2010-09-27 01:02:55,949 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47380||||39|1|132.249.69.238
2010-09-27 01:02:57,480 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47381||||||132.249.69.238
