site_id     dd_nu  site_no                                            station_nm                                       state_cd                                           county_cd                                          district_cd                                        country_cd
----------- ------ -------------------------------------------------- ------------------------------------------------ -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------
19417       1      09426620                                           BILL WILLIAMS RIVER NEAR PARKER, AZ.             04                                                 012                                                04                                                 US
65088       1      06061500                                           Prickly Pear Creek near Clancy MT                30                                                 043                                                30                                                 US
65152       5      06076690                                           Smith River near Ft Logan MT                     30                                                 059                                                30                                                 US
66093       2      12323800                                           Clark Fork near Galen MT                         30                                                 023                                                30                                                 US
66247       5      12355500                                           N F Flathead River nr Columbia Falls MT          30                                                 029                                                30                                                 US
146627      2      01396800                                           Spruce Run at Clinton NJ                         34                                                 019                                                34                                                 US
623061      1      15056030                                           KAKUHAN C NR HAINES AK                           02                                                 100                                                02                                                 US
623120      2      15081497                                           STANEY C NR KLAWOCK AK                           02                                                 201                                                02                                                 US
623651      2      15292700                                           TALKEETNA R NR TALKEETNA AK                      02                                                 170                                                02                                                 US
624326      2      15904800                                           ATIGUN R NR PUMP STATION 4 AK                    02                                                 185                                                02                                                 US
846540      1      02342500                                           UCHEE CREEK NEAR FORT MITCHELL, AL.              01                                                 113                                                01                                                 US
846555      1      02342933                                           SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL      01                                                 005                                                01                                                 US
846643      1      02361500                                           CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL            01                                                 061                                                01                                                 US
847120      2      02411930                                           TALLAPOOSA RIVER BELOW TALLAPOOSA, GEORGIA       13                                                 143                                                01                                                 US
847428      2      0242354750                                         CAHABA VALLEY CREEK AT CROSS CR RD AT PELHAM, AL 01                                                 117                                                01                                                 US
1049517     2      01437500                                           NEVERSINK RIVER AT GODEFFROY NY                  36                                                 071                                                36                                                 US
1119380     2      01606000                                           N F SOUTH BR POTOMAC R AT CABINS, WV             54                                                 023                                                54                                                 US
1179178     1      12056500                                           NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, W 53                                                 045                                                53                                                 US
1413106     2      06447230                                           BLACK PIPE CREEK NR BELVIDERE, SD                46                                                 095                                                46                                                 US
1586670     2      03584020                                           RICHLAND CREEK AT HWY 64 NEAR PULASKI, TN        47                                                 055                                                47                                                 US
1822729     4      03108000                                           Raccoon Creek at Moffatts Mill, PA               42                                                 007                                                42                                                 US
1822717     6      03106300                                           Muddy Creek near Portersville, PA                42                                                 019                                                42                                                 US
1822690     4      03105500                                           Beaver River at Wampum, PA                       42                                                 073                                                42                                                 US
1822676     4      03102850                                           Shenango River near Transfer, PA                 42                                                 085                                                42                                                 US
1822673     4      03102500                                           Little Shenango River at Greenville, PA          42                                                 085                                                42                                                 US
1822671     4      03101500                                           Shenango River at Pymatuning Dam, PA             42                                                 039                                                42                                                 US
1822657     4      03085500                                           Chartiers Creek at Carnegie, PA                  42                                                 003                                                42                                                 US
1822619     4      03082500                                           Youghiogheny River at Connellsville, PA          42                                                 051                                                42                                                 US
1822582     4      03081000                                           Youghiogheny River below Confluence, PA          42                                                 051                                                42                                                 US
1822581     4      03080000                                           Laurel Hill Creek at Ursina, PA                  42                                                 111                                                42                                                 US
1822568     1      03079000                                           Casselman River at Markleton, PA                 42                                                 111                                                42                                                 US
1822556     4      03077500                                           Youghiogheny River at Youghiogheny River Dam, PA 42                                                 111                                                42                                                 US
1822552     4      03075070                                           Monongahela River at Elizabeth, PA               42                                                 003                                                42                                                 US
1822544     4      03074500                                           Redstone Creek at Waltersburg, PA                42                                                 051                                                42                                                 US
1822415     6      03049800                                           Little Pine Creek near Etna, PA                  42                                                 003                                                42                                                 US
1822392     7      03048500                                           Kiskiminetas River at Vandergrift, PA            42                                                 129                                                42                                                 US
1822380     4      03045000                                           Loyalhanna Creek at Kingston, PA                 42                                                 129                                                42                                                 US
1822369     1      03042500                                           Two Lick Creek at Graceton, PA                   42                                                 063                                                42                                                 US
1822368     11     03042280                                           Yellow Creek near Homer City, PA                 42                                                 063                                                42                                                 US
1822354     4      03042000                                           Blacklick Creek at Josephine, PA                 42                                                 063                                                42                                                 US
1822346     5      03041500                                           Conemaugh River at Seward, PA                    42                                                 129                                                42                                                 US
1822338     7      03040000                                           Stonycreek River at Ferndale, PA                 42                                                 021                                                42                                                 US
1822321     1      03039000                                           Crooked Creek at Crooked Creek Dam, PA           42                                                 005                                                42                                                 US
1822319     4      03038000                                           Crooked Creek at Idaho, PA                       42                                                 005                                                42                                                 US
1822308     6      03036500                                           Allegheny River at Kittanning, PA                42                                                 005                                                42                                                 US
1822298     1      03036000                                           Mahoning Creek at Mahoning Creek Dam, PA         42                                                 005                                                42                                                 US
1822296     4      03034500                                           Little Mahoning Creek at McCormick, PA           42                                                 063                                                42                                                 US
1822293     4      03034000                                           Mahoning Creek at Punxsutawney, PA               42                                                 065                                                42                                                 US
1822281     9      03032500                                           Redbank Creek at St. Charles, PA                 42                                                 005                                                42                                                 US
1822220     4      03031500                                           Allegheny River at Parker, PA                    42                                                 005                                                42                                                 US
1822178     5      03030500                                           Clarion River near Piney, PA                     42                                                 031                                                42                                                 US
1822157     9      03029500                                           Clarion River at Cooksburg, PA                   42                                                 031                                                42                                                 US
1822110     4      03028500                                           Clarion River at Johnsonburg, PA                 42                                                 047                                                42                                                 US
1822109     4      03028000                                           West Branch Clarion River at Wilcox, PA          42                                                 047                                                42                                                 US
